Author and Year;Study Design;Study Period;Country;Equity;Participants;Mean Age [Range];Risk of Bias;Number of dp;MA?;Exposure;Exposure Measure;Outcome Measure;N
Sampasa-Kanyinga 2015;Cross-sectional;2013;Canada;High income country with mixed SEP;Grade 7-12 high school students' part of the Ontario Student Drug Use and Health Survey;"15.2 [11-19]";Low;3;Yes;"Time spent on SM";"Uncontrolled use of SM";"Time spent on SM";9858
Sampasa-Kanyinga 2016;Cross-sectional;2013;Canada;High income country with mixed SEP;Grade 7-12 high school students' part of the Ontario Student Drug Use and Health Survey;"15.2 [11-20]";Low;4;Yes;"Time spent on SM";"Skipping breakfast in the past 5 days";"Time spent on SM";9858
Sampasa-Kanyinga 2016;Cross-sectional;2013;Canada;High income country with mixed SEP;Grade 7-12 high school students' part of the Ontario Student Drug Use and Health Survey;"15.2 [11-20]";Low;4;Yes;"Time spent on SM";"Uncontrolled use of SM";"Time spent on SM";9858
Sampasa-Kanyinga 2016;Cross-sectional;2013;Canada;High income country with mixed SEP;Grade 7-12 high school students' part of the Ontario Student Drug Use and Health Survey;"15.2 [11-20]";Low;4;Yes;"Time spent on SM";"Energy drink consumption in the past 7 days";"Time spent on SM";9858
Sampasa-Kanyinga 2018;Cross-sectional;2013;Canada;High income country with mixed SEP;Grade 9-10 high school students' part of the Ontario Student Drug Use and Health Survey;"16.1 [NR]";Mod;1;Yes;"Time spent on SM";"Not meeting physical activity recommendation in past week (≥60 minutes per day of moderate to vigorous physical activity on all 7 days)";"Time spent on SM websites either posting or browsing per day";4814
Savolainen 2020;Cross-sectional;2017-2019;USA, South Korea, Finland, and Spain;High income country;Adolescents in 4 countries across 4 continents;NR;High;20;Yes;"Freq. of SM use";"Hazardous alcohol use (via AUDIT-C)";"Freq. of SM use";329 (USA)
Savolainen 2020;Cross-sectional;2017-2019;USA, South Korea, Finland, and Spain;High income country;Adolescents in 4 countries across 4 continents;NR;High;20;Yes;"Freq. of SM use";"Hazardous alcohol use (via AUDIT-C)";"Freq. of SM use";329 (USA)
Savolainen 2020;Cross-sectional;2017-2019;USA, South Korea, Finland, and Spain;High income country;Adolescents in 4 countries across 4 continents;NR;High;20;Yes;"Freq. of SM use";"Hazardous alcohol use (via AUDIT-C)";"Freq. of SM use";329 (USA)
Savolainen 2020;Cross-sectional;2017-2019;USA, South Korea, Finland, and Spain;High income country;Adolescents in 4 countries across 4 continents;NR;High;20;Yes;"Freq. of SM use";"Hazardous alcohol use (via AUDIT-C)";"Freq. of SM use";329 (USA)
Shan 2022;Cohort;2013-2018;USA;High income country with mixed SEP;Adolescents part of the Population Assessment of Health and Tobacco Study;NR;Low;2;Yes;"Exposure to health-risk behaviour content";"Initiation of cigarettes";"Followed tobacco brands (e.g., Marlboro, Newport, American Spirit, Vuse) on Facebook/Twitter or other SM sites";6557
Sharma 2021;Cross-sectional;NR;India;Low-middle income country with mixed SEP;Grade 9-12 students in Barwala village, Delhi;NR;High;1;Yes;"Exposure to health-risk behaviour content";"Smoking prevalence";"Exposure to tobacco adverts on SM";652
Shimoga 2019;Cross-sectional;2014-2015;USA;High income country with mixed SEP;Grade 8,10 and 12 school students' part of the Monitoring the Future Survey;NR;Low;1;No;"Freq. of SM use";"No. of teenage pregnancies";"Freq. of SM use";19543
Smout 2021;Cohort;2012-2015;Australia;High income country;Middle school students' part of the CAP study;"13.4 [13-16]";Mod;2;Yes;"Time Spent on SM";"Increased frequency of tobacco product use";"Exposure to peer-generated content on SM depicting risky substance use";14500
Soneji 2018;Cohort;2013-2015;USA;High income country with mixed SEP;Sample members of the Population Assessment of Tobacco and Health Study;NR;Low;4;Yes;"Freq. of SM use";"Initiation of binge drinking in the past month";"Freq. of SM use";11996
Stevens 2017;Cross-sectional;2013-2014;USA;High income country with low SEP;Sample members of a larger mixed methods study;"18.2 [13-24]";Low;2;No;"Other SM activities";"No. of past month alcohol use episodes";"Freq. of SM use";2538
Suwanwong 2021;Cross-sectional;2017;Thailand;Low-middle income country;Adolescents part of the Cigarette Smoking and Alcohol Drinking Behaviour Survey;"18.2 [13-24]";High;2;No;"Other SM activities";"Days drinking per month";"Exposure to anti-smoking SM campaign";6411
Svensson 2020;Repeat cross-sectional;2016-2019;Sweden;High income country;Students from 17 secondary schools in 8 small municipalities in the county of Skåne part of the Öckerö project;NR;Mod;3;No;"Time Spent on SM";"Alcohol use disorder (via AUDIT)";"Avg. daily internet use";4733
Tao 2022;Cross-sectional;2020-2021;USA;High income country with mixed SEP;Adolescents;NR;High;2;Yes;"Time Spent on SM";"Time spent visiting alcohol-related websites per week";"Participated in risky sexual behaviours in the past 3 months";11611
Tao 2022;Cross-sectional;2020-2021;USA;High income country with mixed SEP;Adolescents;NR;High;2;Yes;"Time Spent on SM";"Time spent visiting alcohol-related websites per week";"Participated in risky sexual behaviours in the past 3 months";11611
Trangenstein 2019;Cross-sectional;2018;USA;High income country with mixed SEP;Adolescents in USA states with legalised retail cannabis;NR;High;2;No;"Exposure to health-risk behaviour content";"Cannabis use in the past year";"Freq. of SM use";16021
Trangenstein 2019;Cross-sectional;2018;USA;High income country with mixed SEP;Adolescents in USA states with legalised retail cannabis;NR;High;2;No;"Exposure to health-risk behaviour content";"Cannabis use in the past month";"Freq. of SM use";16021
Tsitsika 2009;Cross-sectional;2007-2008;Greece;High income country with mixed SEP;Grade 9-10 urban district school students in Athens;"14.9 [NR]";High;1;Yes;"Freq. of SM use";"Internet gambling practices (not via SM) at least once per week";"Presence of internet chat room use";484
Tsitsika 2011;Cross-sectional;2007-2008;Greece;High income country with mixed SEP;Grade 9-10 school students in the urban district of Athens;"14.9 [NR]";High;1;No;"Freq. of SM use";"Use of erotic contact websites in the past 6 months";"Freq. of chat room use";1163
Vandenbosch 2016;Cross-sectional;2010;Belgium;High income country;School students' part of the MORES Panel Study;"15.4 [12-18]";Low;1;Yes;"Freq. of SM use";"Delinquent behaviours in the past 6 months (via validated tool)";"Freq. of SM use";563
Vannucci 2019;Cohort;2016-2017;USA;High income country with mixed SEP;Grade 7-8 middle school students' part of the PANDA Research Project;"12.7 [11-14]";Low;1;Yes;"Freq. of SM use";"No. of engagement in physical fights in the past 12 months";"Presence of internet chat room use";1308
Vazquez-Nava 2020;Cross-sectional;NR;Mexico;Low-middle income country with mixed SEP;Urban school students in North-eastern Mexico;NR;High;1;Yes;"Freq. of SM use";"Tobacco smoking (via validated tool)";"Presence of use of social networks WhatsApp/Facebook (via validated tool)";1328
Vente 2020;Cross-sectional;2016-2018;USA;High income country;Adolescents seen at a paediatric clinic at an urban medical center;NR;High;2;No;"Freq. of SM use";"Sexting";"Use of ≥4 SM applications per day";179
Vente 2020;Cross-sectional;2016-2018;USA;High income country;Adolescents seen at a paediatric clinic at an urban medical center;NR;High;2;No;"Freq. of SM use";"Sexting";"Use of ≥4 SM applications per day";179
Wana 2019;Cross-sectional;2017;Ethiopia;Low-middle income country;Pre-college students residing in Adama Town;NR;Mod;3;Yes;"Time spent on SM";"Risky sexual behaviour";"Time spent on SM";1833
Ward 2022;Cross-sectional;2017-2018;USA;High income country;Adolescents in the Seattle metro area part of a larger longitudinal experimental study;"15.0 [11-15]";High;1;No;"Freq. of SM use";"Past month opioid use";"Freq. of Snapchat use";266
Whitehill 2020;Cross-sectional;2018;USA;High income country with mixed SEP;Adolescents (aged 15-19) residing in US states with legalised retail cannabis;NR;High;4;Yes;"Freq. of SM use";"Lifetime cannabis use";"Presence of Facebook use";469
Widman 2014;Cross-sectional;2014;USA;High income country;Grade 9-10 high school students' part of a larger study;"17.4 [16-19]";High;2;Yes;"Freq. of SM use";"Inconsistent condom use in the past 6 months";"Time spent on SM";176
Worku 2022;Cross-sectional;2021;Ethiopia;Low-middle income country with low SEP;Female high school students at selected high schools of Yeka Sub-city, Addis Ababa;NR;Mod;1;No;"Time Spent on SM";"Low dietary diversity (via FANTA)";"Stayed more than 2 hrs/day on SM";284
